river,country,province
Ural,KZ,Aktobe
Ural,KZ,Atyrau
Ural,KZ,West Kazakhstan
Emba,KZ,Aktobe
Emba,KZ,Atyrau
Ob,R,Altayskiy
Ob,R,Novosibirskaya
Ob,R,Tomskaya
Ob,R,Tyumenskaya
Irtysh,R,Omskaya
Irtysh,R,Tyumenskaya
Irtysh,KZ,Pavlodar
Irtysh,KZ,East-Kazakhstan
Irtysh,CN,Xinjiang
Tobol,R,Orenburgskaya
Tobol,R,Kurganskaya
Tobol,R,Tyumenskaya
Tobol,KZ,Kostanai
Tura,R,Sverdlovskaya
Tura,R,Tyumenskaya
Tagil,R,Sverdlovskaya
Isset,R,Kurganskaya
Isset,R,Sverdlovskaya
Isset,R,Tyumenskaya
Miass,R,Bashkortostan
Miass,R,Kurganskaya
Miass,R,Chelyabinskaya
Ishim,R,Omskaya
Ishim,R,Tyumenskaya
Ishim,KZ,Akmola
Ishim,KZ,Karaganda
Ishim,KZ,North-Kazakhstan
Ishim,KZ,Astana
Katun,R,Altay
Katun,R,Altayskiy
Chulym,R,Tomskaya
Chulym,R,Khakasiya
Chulym,R,Krasnoyarsk
Tom,R,Kemerovskaya
Tom,R,Tomskaya
Tom,R,Khakasiya
Yenissey,R,Tyva
Yenissey,R,Khakasiya
Yenissey,R,Krasnoyarsk
Little Yenissey,R,Tyva
Little Yenissey,MNG,Mongolia
Nizhnyaya Tunguska,R,Krasnoyarsk
Nizhnyaya Tunguska,R,Irkutskaya
Chantaika,R,Krasnoyarsk
Angara,R,Buryatiya
Angara,R,Krasnoyarsk
Angara,R,Irkutskaya
Selenge,R,Buryatiya
Selenge,MNG,Mongolia
Egiin Gol,MNG,Mongolia
Orchon,MNG,Mongolia
Tuul,MNG,Mongolia
Pyasina,R,Krasnoyarsk
